order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 9, 01026222 PROBABILITY AND STATISTICS FOR ENGINEERING, 4, 2, 35,09:30:00 - 12:30:00,ดร.ปุณยวีร์ ฉายศิริ, อาคาร 12 ชั้น, E12-506, 35/35,2026-03-16, 010,09,35,2026-03-16 09,ปุณยวีร์ ฉายศิริ
 10, 01046701 ENGINEERING MATHEMATICS 4, 1, 2, 39,09:30:00 - 12:30:00,ผศ. ดร.เมธา คงพูน, อาคาร 12 ชั้น, E12-606, 28/39,2026-03-16, 010,09,28,2026-03-16 09,เมธา คงพูน
 10, 01046701 ENGINEERING MATHEMATICS 4, 1, 2, 39,09:30:00 - 12:30:00,ผศ. ดร.เมธา คงพูน, อาคาร 12 ชั้น, E12-607, 11/39,2026-03-16, 010,09,11,2026-03-16 09,เมธา คงพูน
 10, 01046701 ENGINEERING MATHEMATICS 4, 2, 2, 49,09:30:00 - 12:30:00,"ผศ. ดร.ยุทธนา คิดใจเดียว,ผศ. ดร.เมธา คงพูน", อาคาร 12 ชั้น, ห้องคอมพิวเตอร์ E12-201, 0/49,2026-03-16, 010,09,0,2026-03-16 09,ยุทธนา คิดใจเดียว;เมธา คงพูน
 11, 01066067 CONTROL SYSTEMS, 3, 2, 42,09:30:00 - 12:30:00,รศ. ดร.พิทยา ปานนิล, อาคาร 12 ชั้น, E12-703, 42/42,2026-03-16, 010,09,42,2026-03-16 09,พิทยา ปานนิล
 12, 01068014 ENGINEERING METROLOGY, 54, 2, 41,09:30:00 - 12:30:00,"ผศ. ดร.สุธรรม สัทธรรมสกุล,อ.สุพจน์ ตุงคเศรวงศ์", อาคาร 12 ชั้น, E12-701, 28/41,2026-03-16, 010,09,28,2026-03-16 09,สุธรรม สัทธรรมสกุล;สุพจน์ ตุงคเศรวงศ์
 12, 01068014 ENGINEERING METROLOGY, 54, 2, 41,09:30:00 - 12:30:00,"ผศ. ดร.สุธรรม สัทธรรมสกุล,อ.สุพจน์ ตุงคเศรวงศ์", อาคาร 12 ชั้น, E12-702, 13/41,2026-03-16, 010,09,13,2026-03-16 09,สุธรรม สัทธรรมสกุล;สุพจน์ ตุงคเศรวงศ์
 13, 01076141 CALCULUS 2, 18, 1, 62,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM-501, 24/62,2026-03-16, 010,09,24,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
,, 18, 1, 62,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM-502, 38/62,2026-03-16,,09,38,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
,, 19, 1, 47,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM-405, 24/47,2026-03-16,,09,24,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
,, 19, 1, 47,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM-406, 23/47,2026-03-16,,09,23,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
